fileName,path,pieceTitle,broadCategory,specificType,qualityRating,CreationDate,active,idealWidth,idealHeight,minWidth,maxWidth,caption
LAP_business_card_back.png,design/LAP_business_card_back.png,Light At Play Business Card,graphic_desgin,business_card,4,2014,1,,,,,
LAP_business_card_front.png,design/LAP_business_card_front.png,Light At Play Business Card,graphic_desgin,business_card,4,2014,1,,,,,
tuibSmallBlue.jpeg,design/tuibSmallBlue.jpeg,Tangoed Up In Blues Logo,graphic_desgin,logo,4,2015,1,,,,,
ruth_logo_standalone.svg,design/ruth_logo_standalone.svg,Camilla Kaplan Logo,graphic_desgin,logo,4,2016,1,,,,,
magical_seams_logo.png,design/magical_seams_logo.png,Magical Seams Logo,graphic_desgin,logo,5,2018,1,,,,,
cjllogo.png,design/cjllogo.png,Climate Justice League Logo,graphic_desgin,logo,2,2010,1,,,,,
kaelidescope_poster.jpg,design/kaelidescope_poster.jpg,Kaleidoscope Poster,graphic_desgin,poster,2,2011,1,,,,,
winterFormalPoster.pdf,design/winterFormalPoster.pdf,Crossroads Winter Formal,graphic_desgin,poster,3,2017,1,,,,,
winterformalTicket.pdf,design/winterformalTicket.pdf,Crossroads Winter Formal,graphic_desgin,ticket,3,2017,1,,,,,
why_go_renewable.jpg,design/why_go_renewable.jpg,Why Go Renewable,graphic_desgin,magazine_article,4,2013,1,,,,,
LightAtPlay-2014-11-Full Logo.png,design/LightAtPlay-2014-11-Full Logo.png,Light at Play Banner Logo,graphic_desgin,logo,4,2014,1,,,,,
theWave.jpg,design/theWave.jpg,The Wave,fine_art,quilt,5,2016,1,,,,,"In 2016 a wave of progressive ideals - spearheaded by Bernie Sanders, a figurehead portentiously visited by a small finch at the podium during a visit to Oregon - crashed down into confusion and chaos. Amid the helplessness of that years end, it was vital to remeber that when a wave crashes down in froth and flare, it's energy is not lost, merely transferred under the water to take on a new form, and rise again. "
vector_self_portrait.png,design/vector_self_portrait.png,Self Portrait in Vector,fine_art,digital_painting,3,2013,1,,,,,
wibbeldywobbldy.pdf,design/wibbeldywobbldy.pdf,Wibbeldy Wobbeldy,fine_art,acrylic_painting,4,2013,1,,,,,
resolution.jpg,design/resolution.jpg,Resolution,fine_art,digital_painting,4,2016,1,,,,,"As the ordeal of birth fades from the forefront, and the chaos and novelty of a newly formed family begins to subside, a tiny human resolves out of the rippling dots of the sickbed's all to familar pillows"
empty.png,design/empty.png,Empty,fine_art,digital_painting,3,2016,1,,,,,
ginger_tea.jpg,design/ginger_tea.jpg,Ginger Tea,illustration,digital_illustration,4,2013,1,,,,,
imagine.jpg,design/imagine.jpg,Imagine,illustration,digital_illustration,4,2012,1,,,,,
disollution.jpg,design/disollution.jpg,Dissolution,illustration,digital_illustration,2,2012,1,,,,,
the_night_train.png,design/the_night_train.png,The Night Train,illustration,digital_illustration,3,2018,1,,,,,
tithonia.png,design/tithonia.png,Tithonia,fine_art,watercolor_painting,4,2018,1,,,,,
sunset_squirrel.png,art/sunset_squirrel.png,Sunset,illustration,digital_illustration,3,2018,1,,,,,
oregon_boat.png,art/oregon_boat.png,Boat,illustration,digital_illustration,3,2017,0,,,,,
peacock_sparrow.png,art/peacock_sparrow.png,Peacock Sparrow,illustration,digital_illustration,4,2018,1,,,,,
daniel3.png,art/daniel3.png,Daniel,illustration,digital_illustration,4,2018,1,,,,,
boat.png,art/boat.png,Boat,illustration,digital_illustration,4,2017,1,,,,,
